ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region
CN-0085,medium_airport,Xiaogan Air Base,30.95439911,113.9110031,CN,CN-42
CN-0089,medium_airport,Baitabu Air Base,34.57139969,118.875,CN,CN-32
CN-0090,medium_airport,Cangxian Air Base,38.40250015,116.9290009,CN,CN-13
CN-0091,medium_airport,Dongying Shengli Airport,37.50859833,118.788002,CN,CN-37
CN-0092,medium_airport,Jiaozhou/Jiaocheng Air Base,36.33060074,120.0240021,CN,CN-37
CN-0093,medium_airport,Jinan Air Base,36.67919922,116.9209976,CN,CN-37
CN-0094,medium_airport,Jiugucheng Air Base,37.49000168,116.1179962,CN,CN-13
CN-0095,medium_airport,Kaifeng Air Base,34.75389862,114.3389969,CN,CN-41
CN-0096,medium_airport,Laiyang Air Base,36.96360016,120.5910034,CN,CN-37
CN-0097,medium_airport,Luyang Air Base,33.68470001,112.8909988,CN,CN-41
CN-0100,medium_airport,Qingdao-Cangkou Air Base,36.15919876,120.3919983,CN,CN-37
CN-0103,medium_airport,Wendeng Air Base,37.26470184,122.0230026,CN,CN-37
CN-0104,medium_airport,Xingcheng Air Base,40.58029938,120.697998,CN,CN-21
CN-0105,medium_airport,Xuzhou Daguozhang Air Base,34.05889893,117.5579987,CN,CN-32
CN-0106,medium_airport,Xuzhou Jiulishan Air Base,34.23059845,117.2460022,CN,CN-32
CN-0109,medium_airport,Yidu Air Base,36.59140015,118.5270004,CN,CN-37
CN-0111,medium_airport,Zhucheng Air Base,36.02750015,119.439003,CN,CN-37
CN-0113,medium_airport,Altay Air Base,47.74988556,88.0858078,CN,CN-65
CN-0114,medium_airport,Baoji Air Base,34.53170013,107.4720001,CN,CN-61
CN-0117,medium_airport,Gonghe Air Base,36.33670044,100.4800034,CN,CN-63
CN-0123,medium_airport,Lanzhou Air Base,35.9178009,104.2180023,CN,CN-62
CN-0125,medium_airport,Ljtao Air Base,35.30830002,103.8359985,CN,CN-62
CN-0127,medium_airport,Qingshui Air Base,39.55469894,98.88420105,CN,CN-62
CN-0130,medium_airport,Tianshui Maijishan Airport,34.55939865,105.8600006,CN,CN-62
CN-0132,medium_airport,Urumqi South Air Base,43.46580124,87.53220367,CN,CN-65
CN-0133,medium_airport,Uxxaktal Air Base,42.1814003,87.18810272,CN,CN-65
CN-0134,medium_airport,Wugong Air Base,34.27420044,108.2659988,CN,CN-61
CN-0135,medium_airport,Wulumuqi Air Base,43.95029831,87.07859802,CN,CN-65
CN-0136,medium_airport,Wuwei Air Base,37.98830032,102.5670013,CN,CN-62
CN-0137,medium_airport,Xian Air Base,34.15390015,108.598999,CN,CN-61
CN-0138,medium_airport,Xincheng Air Base,25.54829979,114.6190033,CN,CN-36
CN-0139,medium_airport,Yaerbashi Test Range,43.07720184,92.80809784,CN,CN-65
CN-0140,medium_airport,Yanliang Air Base,34.64390182,109.2429962,CN,CN-61
CN-0143,medium_airport,Zhangye Ganzhou Airport,38.80189896,100.6750031,CN,CN-62
